"experiment","run","step","total_delivered_value","total_seized_value","count_links","first_yellow_tick","count_links_with_color_yellow","seizure_rate_pct","yellow_link_rate_pct","drug_through_yellow_rate_pct","clustering_rate_pct","never_adapted","cartel_type","enforcement_target","enforcement_duration"
"Exp2_Stubborn_Busiest_Short",20,1000,4333,1177,157,5,54,21.36,34.39,22.13,5.56,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",21,1000,4246,1231,141,4,29,22.48,20.57,19.15,8,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",22,1000,4172,1234,140,5,18,22.83,12.86,12.04,6.56,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",23,1000,4175,1333,132,7,31,24.2,23.48,13.06,3.75,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",24,1000,4125,1233,120,4,30,23.01,25,16.16,3.28,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",25,1000,4253,1173,162,6,40,21.62,24.69,11.58,5.17,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",26,1000,4224,1293,144,5,32,23.44,22.22,20.93,5.15,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",27,1000,4276,1192,143,92,45,21.8,31.47,18,6.67,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",28,1000,4108,1262,138,5,34,23.5,24.64,22.67,7.44,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",29,1000,4356,1131,141,4,33,20.61,23.4,11.47,5.94,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",30,1000,4185,1271,133,4,35,23.3,26.32,17.01,5.08,FALSE,"Stubborn","Busiest","Short"
"Exp3_Adaptive_Random_Short",1,1000,5379,102,92,6,6,1.86,6.52,12.39,2.6,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",2,1000,5315,75,80,464,6,1.39,7.5,6.21,4.04,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",3,1000,5428,55,74,637,1,1,1.35,0,1.72,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",4,1000,5428,127,89,4,11,2.29,12.36,6.19,4.82,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",5,1000,5335,124,78,275,7,2.27,8.97,4.1,3.41,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",6,1000,5378,112,62,812,0,2.04,0,0,4.59,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",7,1000,5442,137,78,283,19,2.46,24.36,30.06,2.4,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",8,1000,5335,156,69,92,12,2.84,17.39,13.3,1.5,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",9,1000,5303,109,86,6,1,2.01,1.16,0,2.39,FALSE,"Adaptive","Random","Short"
"Exp3_Adaptive_Random_Short",10,1000,5310,150,54,8,9,2.75,16.67,13.33,2.6,FALSE,"Adaptive","Random","Short"
